@relation output

@attribute text string
@attribute @@class@@ {impolite,polite}

@data
'Its a pretty dumb question.  Who is asking you this?',impolite
'You *want* to see your password in your cookie? I suppose you like it when sites email you your *forgotten password* too?',impolite
'WTF? Downvotes? What for?',impolite
'You again? Why dont you go do your homework?',impolite
'You wouldnt be allowed to ask and post comments if you were not logged in. What kind of programmer are you?',impolite
'My answer would be: What kind of lame ass product searches for palindromes in a string. May I take a closer look at your business plan please?',impolite
'miles per hour? really?',impolite
'? EXPLAIN PLEASE! WHERE WOULD I DO THAT @ ?',impolite
'Please explain in detail? Really?',impolite
'no offense kid but youre trying to build a chess game and are struggling to put labels on a board? Dont you think this kind of program is a little bit out of your league?',impolite
'Ugh possibly the ugliest Python code Ive ever seen. What are you doing?',impolite
'Wow.  You couldnt even format your test question correctly?  How can we answer your homework for you if you cant even format it well?',impolite
'@pimvdb No I dont. Do you have something which could lead me to a solution or just wanna make some pointless comments?',impolite
'How ridiculous is the answer youre looking for? Do you want a 3-layer solution with `i \% 3` as a configurable business logic?',impolite
'Wait  youre writing a thesis and youve got *no clue how to use it*? Wow. Usually it should be the other way round shouldnt it?',impolite
'You think mapping strings to a variables symbolic name is a good idea?  Why in the world would you think that?',impolite
'Why not? And why on earth do you have these absurd constraints?',impolite
'Must you go through all of the cities? Must you use all of the tickets?',impolite
'Ya seriously.  17 questions and no selected answers?',impolite
'I notice that many questions you have asked are simply available through a Google search. You do know about Google ?',impolite
'What in the world are you talking about? Is this a legal question (use of copyrighted images)?',impolite
'Thats a lot of complicated code for something which could probably be shown a lot more simply. Care to provide a much simpler example... and an actual *question* to go with it?',impolite
'And what is your question? Surely you dont expect a solution as then you wouldnt have been doing your homework?',impolite
'Not even proper sentences? Are you currently in an exam?',impolite
'@Moron : I am not here to get my work done but to learn better ways from other people and perhaps help them if I can.   BTW ... Why are YOU wasting your time with that comments?',impolite
'This same question was asked almost word-for-word about two hours ago. Hasnt anyone ever heard of Google?',impolite
'@Jason: Youre a harsh man. Millions of people also disagree it seems - go watch the show?',impolite
'If its your homework you should possibly do it yourself. Have you even tried it?',impolite
'SO answers homework questions too? Really?',impolite
'I dont understand. If you had your problem solved ... why did you post a question?',impolite
'Did you try anything at all? Is this homework?',impolite
'And what operating system? and why on earth are you writing this in assembler?',impolite
'Not a real question ? What is the not real part here?',impolite
'**0\% acceptance rate?** Really?',impolite
'@Oli Because I believe that youre a troll could you please not take part in any form in any of my future questions? Will you be able to respect my wish?',impolite
'BTW you typod the declaration of `bytes_read`. And what on earth is incertitude?',impolite
'what is the problem exactly? you dont know how to phrase it so cucumber will understand it?',impolite
'I dont want to type my credentials in again. Couldnt you just give me an admin role and handle the authorization in your code?',impolite
'lol WHAT? sry not making fun of anyone but this is hilarious the way it is asked?',impolite
'@Francesco: Why are you so against sharing the errors that you are seeing. Why dont you get that they are helpful?',impolite
'What have you tried and where are you stuck? Or are you just asking *us* to do *your* work for you?',impolite
'any code? or do we have to guess at how you did it?',impolite
'...have you considered implementing it yourself? You *are* a programmer arent you?',impolite
'Why -1?what wrong with ppl here?',impolite
'You question is very incoherent. Can you ask it more clearly?',impolite
'So what have you found so far? Or should we do all of your homework?',impolite
'Just to be a bit of a stinker: your title isnt really a question nor is it a good indicator of what youre actually asking. Consider revising?',impolite
'Do you want a yes or no answer? Is this homework?',impolite
'What error? We should guess?',impolite
'show some code ? what u mean not work ?',impolite
'This problem is trivial to solve. Is this homework?',impolite
'cuz then it wouldnt be a BINARY search.  Any more obvious questions I can answer for ya?  :)',impolite
'you are not giving us **nearly** enough detail to answer your question. First things first - is this a top down game isometric side scrolling?',impolite
'Doing a redundant `atoi` after you just did `strtol` is probably the most twisted insult to the proper use of string-to-int conversion functions in C one can come up with. Why do you see the need to re-convert the value using the broken function `atoi` when you already have it as `val` from a proper function `strtol`?',impolite
'Do you have a specific question?  Or just *Heres my homework please do it for me?*',impolite
'So... you want to implement an exclusive decision tree without using if/elif? Why???',impolite
'What is the actual question? And have you considered using punctuation?',impolite
'I want a pony.  Now were done sharing what we want did you have a question?',impolite
'do you own any C++ books? if yes then why dont you try searching this in that ?',impolite
'This is a vague question. Do you even consider the payment and billing cycle dates?',impolite
'it was a joke. why so serious?',impolite
'You tags are misleading - Algorithm data structures and in your question you are asking for an answer to the puzzle. what do you want?',impolite
'You cant imagine any circumstance in which you would need a simple front end to enter information into your db? Really?',impolite
'Sounds like a good homework question.  Does your instructor know youre cheating?',impolite
'Subjective and argumentative?  Really?',impolite
'*Obviously*. Why not?',impolite
'Wow that is a vaguely described problem. Could you please ... give us some of the code youre having issue with?',impolite
'You could try telling us what the errors you are getting are. Or are we supposed to guess?',impolite
'Ive re-read the question at least 4xs now and am still confused re: if your manager has great faith in your development skills why isnt your manager giving you senior-level responsibilities? Or is it just the title you are seeking?',impolite
'They are completely different. Have you even glanced at the documentation?',impolite
'No matter how efficient you are it is going to take a looong time to enumerate through 2^100 subsets of vertices and that is before you get into the fact that edges can be there or not.  Can you switch to a problem that is likely to finish before the Sun explodes?',impolite
'This sounds bizarre.  Can you explain WHY you have to do it this way?',impolite
'@tinker: In your comment right below the accepted answer you say *@Ivan: nope adding chomp does not help.  tinker 41 mins ago* Do you think this is funny?',impolite
'homework? or you write software for Somali pirates?',impolite
'So whats the problem? If you can read from server then you dont know how to read if from local file do you?',impolite
'So whats the question? Is it will you do this homework for me?',impolite
'What benefit will you gain if we do your homework for you? Why dont you do it yourself?',impolite
'Sure we tell you some good ideas you make mad money.  Are we suckers?',impolite
'Why did you make this community wiki? Why are you refusing to read the documentation?',impolite
