@relation politeness

@attribute request string
@attribute numGratitude numeric
@attribute numDeference numeric
@attribute numGreeting numeric
@attribute inPosLexicon numeric
@attribute inNegLexicon numeric
@attribute numApologize numeric
@attribute pleaseCount numeric
@attribute pleaseStartCount numeric
@attribute numIndirect numeric
@attribute numDirectQuestion numeric
@attribute numDirectStart numeric
@attribute numCounterFactual numeric
@attribute numIndicative numeric
@attribute class {polite,impolite}

@data
'Are you getting valid numbers back when using the +1 trick? Are you using `warnings`?',0,0,1,0,4,0,0,0,0,0,1,1,1,polite
'This is a duplicate question with 2536194.  Can they be combined?',0,0,2,0,0,0,0,0,0,0,1,1,1,polite
'Are A and P allowed to be reals? or Must they be Integers?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'it seems x is the internal transaction ID y is an ID for the object we operate with and z is the device/operator ID that performs this operation.Krishna does it have anything to do with cars (or maps?)',0,0,1,0,2,0,0,0,0,0,0,1,1,polite
'I dont get the question. Perhaps you can explain it more clearly?',0,0,1,2,0,0,0,0,0,0,1,1,1,polite
'You would be changing the semantics of the underlying language if you could do that - not usually a good idea. Maybe youd be happier with a completely different programming language that has semantics for int/float expressions which are more to your taste ?',0,0,2,2,2,0,0,0,0,0,1,1,1,polite
'or anything else? So mutable linked list is allowed?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'my following solutions are working for me without refactoring. Arent they working in your environment?',0,0,2,2,0,0,0,0,0,0,1,1,1,polite
'@lasseespeholt: I see. If I may ask what else do you need?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'I dont understand what youre asking. Can you give an example of what you mean or are trying to achieve?',0,0,2,1,0,0,0,0,0,0,1,1,1,polite
'Do you want to simply have all the standard input in a single byte buffer at once?  Do you know a maximum length of the input stream?',0,0,1,0,2,0,0,0,0,0,1,1,1,polite
'Found some more information which likely explains it: http://rt.openssl.org/Ticket/Display.html?id=1497&user=guest&pass=guest -- still not sure how I can work around it. Maybe `keytool` can be used instead?',0,0,1,2,0,0,0,0,0,0,1,1,1,polite
'What format is your heatmap in?  Do you have some function p(x y) that gives you a probability density at xy?',0,0,1,1,0,0,0,0,0,1,0,1,1,polite
'I do have skype installed but not running. does it need to be running to hijack 80/443?',0,0,1,1,1,0,0,0,0,0,1,1,1,polite
'What programming environment is it being run in?  Have you turned up the compiler optimization?',0,0,1,0,0,0,0,0,0,1,0,1,1,polite
'How did u feed the html to the browser? Is there a <base> element in the HTML?',0,0,0,0,0,0,0,0,0,0,1,1,1,polite
'How are you accessing the image?  Loaded via Request?',0,0,1,0,1,0,0,0,0,0,1,1,1,polite
'Unless you have only a few big groups enumerating all of them will likely take way too long. Could you add more details?',0,0,1,1,1,0,0,0,0,0,1,1,1,polite
'Can you clarify the question a bit? Do you want to simply get the third element from the list (which in this case is the list of lists) or do you want to find the element which is a list of lists (without knowing at which position it will be)?',0,0,2,1,0,0,0,0,0,0,1,1,0,polite
'I dont think this should happen at all unless there is something more to it than the code shows. And just out of curiosity are you using any kind of accelerator?',0,0,2,0,1,0,0,0,0,0,1,1,1,polite
'Is TBL#Sell2 empty before you copy the rows? Are all SellId in TBLSell empty before copy?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'Please let us know the broader context of what you want to do. Why do you need to be able to distinguish between `DATA` and `STDIN`?',0,0,1,1,4,0,1,1,0,0,1,1,1,polite
'It is possible (though not likely IMO) that some strange quantum entanglement effect could lead to a computer that outputs its results before the input is received. Would that qualify as negative complexity??',0,0,0,3,7,0,0,0,0,0,1,1,1,polite
'What do you mean by tracing letters?  Could you give an example please?',0,0,1,2,2,0,1,0,0,1,0,1,1,polite
'Please elaborate on what you mean by calling directly and from another class. Which object is making this call in the first case?',0,0,2,1,5,0,1,1,0,0,1,1,1,polite
'You might have a difficult time with any arbitrary quadrilateral if you allow convex quads and those whose segments overlap. Do you mean any arbitrary *convex* quadrilateral?',0,0,1,0,3,0,0,0,0,0,1,1,1,polite
'Many languages can do this in their standar libraries. Any prefered language or do you want a pure algorithm?',0,0,2,3,0,0,0,0,0,0,1,1,1,polite
'What algorithms have you heard about ? Do you have references ?',0,0,1,0,0,0,0,0,0,1,0,1,1,polite
'but the breakpoint doesnt affect anything unless the condition holds so you can put your breakpoint anywhere (like the Setter) and take it from there. Or am I missing something?',0,0,2,1,3,0,0,0,0,0,1,1,1,polite
'Are you on development webserver? Check if the same problem present with your app working under IIS and then with new empty mvcapp?',0,0,1,1,4,0,0,0,0,0,1,1,1,polite
'Should the solution report duplicates that are in different folders or only duplicates in the same folder. E.g. would `/bert/me.gif` not be considered a duplicate of `/ernie/me.gif` (assuming identical file size)?',0,0,0,0,2,0,0,0,0,0,1,1,1,polite
'do they have to be executables? what about MEF and doing the apps as plugins for the launcher?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'somewhere from the run dialog of JDeveloper. But are you sure you want to use this IDE?',0,0,2,0,0,0,0,0,0,0,1,1,1,polite
'My context is: I want to capture an image which has width = 300px height = 300px in android. how can I do this?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
